Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,60,O+,4,Ground,60,O-,4,42657.7229633406,2.96076497071373E-9,37804864.9532579,37762207.2302946,0.416166552565319,9.32258055253108E-9,0,"qQ7,54(60)",v=0 60  7 53 - v=0 60  7 54
AsymmetricTop,Ground,24,O+,2,Ground,24,O-,2,44111.0054257149,2.39041615231927E-7,6258077.98075018,6213966.97532446,0.202039976002286,1.2357864596098E-8,0,"qQ3,22(24)",v=0 24  3 21 - v=0 24  3 22
AsymmetricTop,Ground,26,E+,2,Ground,25,E+,3,44366.885390617,7.23003809391272E-9,7081995.98221197,7037629.09682135,0.0068915067717448,3.965303896199E-10,0,"oR4,21(25)",v=0 26  2 24 - v=0 25  4 21
AsymmetricTop,Ground,16,E+,1,Ground,15,E+,2,44623.4639972397,1.09106174706221E-8,2573940.2183015,2529316.75430426,0.00499807565490568,4.69937455006729E-10,0,"oR2,13(15)",v=0 16  0 16 - v=0 15  2 13
AsymmetricTop,Ground,16,E+,2,Ground,16,E-,1,45508.984473485,3.02125059118065E-7,2844411.75401289,2798902.76953941,0.138941840645527,1.38570848097932E-8,0,"qQ2,15(16)",v=0 16  2 14 - v=0 16  2 15
AsymmetricTop,Ground,51,E+,4,Ground,51,E-,3,45603.6562909968,1.54729859154705E-8,27422358.2201829,27376754.5638919,0.361404862682224,1.1620293357928E-8,0,"qQ6,46(51)",v=0 51  6 45 - v=0 51  6 46
AsymmetricTop,Ground,19,E+,1,Ground,18,E+,2,45716.3241540766,7.88830115808436E-9,3580262.98544649,3534546.66129241,0.00404388118754236,3.45946566205997E-10,0,"oR2,16(18)",v=0 19  0 19 - v=0 18  2 16
AsymmetricTop,Ground,37,O+,1,Ground,36,O+,2,45726.5511293802,1.77145612349299E-9,13525033.9698187,13479307.4186893,0.00445528392898656,1.98326522078346E-10,0,"oR3,33(36)",v=0 37  1 36 - v=0 36  3 33
AsymmetricTop,Ground,17,E+,1,Ground,16,E+,2,46880.927293174,1.08678246236608E-8,2891292.68130607,2844411.75401289,0.00474460665470362,4.87732934991845E-10,0,"oR2,14(16)",v=0 17  0 17 - v=0 16  2 14
AsymmetricTop,Ground,33,E+,3,Ground,33,E-,2,47195.8674965799,1.45347007752949E-7,11649438.0995521,11602242.2320555,0.25416730436072,1.39257352237461E-8,0,"qQ4,30(33)",v=0 33  4 29 - v=0 33  4 30
AsymmetricTop,Ground,18,E+,1,Ground,17,E+,2,47224.7668434437,9.72214374565655E-9,3226732.49381052,3179507.72696707,0.00441332073140493,4.38666598650093E-10,0,"oR2,15(17)",v=0 18  0 18 - v=0 17  2 15
AsymmetricTop,Ground,42,O+,3,Ground,42,O-,3,47358.9793772995,5.72508251101432E-8,18704024.182203,18656665.2028257,0.30733969204131,1.34112130918454E-8,0,"qQ5,38(42)",v=0 42  5 37 - v=0 42  5 38
AsymmetricTop,Ground,9,O+,1,Ground,9,O-,1,47712.3476644193,2.31644502502663E-7,936221.467402426,888509.119738007,0.0714086135672232,1.42544574835867E-8,0,"qQ1,9(9)",v=0  9  1  8 - v=0  9  1  9
