name,smiles,formula,frequency,catalog_frequency,catalog_intensity,deviation,intensity,uncertainty,S,peak_id,experiment,uline,composition,v_qnos,r_qnos,fit,ustate_energy,lstate_energy,interference,weighting,source,public,velocity,discharge,magnet,multiple,final
Artifact,,,7617.192072973976,7617.1875,0.0,-0.004572973975882633,36.66947287622043,0.0,0.0,0,6000,False,[],[],,{},0.0,0.0,False,0.0,Artifact,False,0.0,False,False,[],True
3-phenylprop-2-ynenitrile,,c9h5n,7628.01288665647,7628.0625,-2.3493,0.04961334352992708,7.969738241116968,0.0007,0.0,0,6000,False,[],[],"N'=7, J'=5 - N''=8     6, J''=4",{},1.6993447765927454,1.4449,False,0.0,Catalog,True,0.0,False,False,[],True
"(2Z)-hexa-1,3-dien-5-yne (anti)",,c6h6,7630.52291306366,7630.5148,-3.657,-0.008113063659948239,7.698736722418095,0.0007,0.0,0,6000,False,[],[],"N'=2, J'=1 - N''=1, J''=0",{},0.6416265765158108,0.3871,False,0.0,Catalog,True,0.0,False,False,[],True
"buta-1,3-diynylbenzene",,c10h6,7633.387276652524,7633.3231,-3.2988,-0.06417665252411098,8.844911386687043,0.0002,0.0,0,6000,False,[],[],"N'=7, J'=6 - N''=6, J''=5",{},1.7028202513206652,1.4482,False,0.0,Catalog,True,0.0,False,False,"[buta_1,3_diynylbenzene, 7,633.3243, cyclohexa-2,4-dien-1-one, 7,633.2803]",False
"buta-1,3-diynylbenzene",,c10h6,7655.767754426988,7655.7719,-3.2966,0.004145573011555825,44.73062392341533,0.0002,0.0,0,6000,False,[],[],"N'=7, J'=5 - N''=6, J''=4",{},1.7044690626866938,1.4491,False,0.0,Catalog,True,0.0,False,False,"[buta_1,3_diynylbenzene, 7,655.7740]",False
umol-1999,,cxhy,7656.44,7656.4426,-3.5977,0.0026000000007115887,12.09,0.0008,0.0,0,6000,False,[],[],"N'=7, J'=7 - N''=6, J''=6",{},1.0228914348305587,0.7675,False,0.0,Catalog,True,0.0,False,False,[],True
ethynylbenzene,,c8h6,7705.761141556364,7705.7598,-3.5048,-0.0013415563644230133,31.821589996556227,0.0006,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=2, J''=2",{},0.6583364795501293,0.4013,False,0.0,Catalog,True,0.0,False,False,[],True
"ethynylbenzene,v23",,c8h6,7710.992858261709,7710.9989,-3.5041,0.006041738290150533,16.82719602825011,0.0005,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=2, J''=2",{},0.6581112371152446,0.4009,False,0.0,Catalog,True,0.0,False,False,[],True
benzonitrile,,c7h5n,7772.44,7772.4639,-3.3786,0.0239000000001397,9.42,0.0003,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=3     2, J''=2",{},0.66156148882638,0.4023,False,0.0,Catalog,True,0.0,False,False,"[benzonitrile, v12, 7,772.2094]",False
benzonitrile,,c7h5n,7773.07,7773.0901,-2.4753,0.02010000000063883,74.42,0.0001,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=3     2, J''=2",{},0.6615823766100213,0.4023,False,0.0,Catalog,True,0.0,False,False,[],True
benzonitrile,,c7h5n,7773.399265516805,7773.4642,-2.3151,0.0649344831954295,123.26759628027847,0.0001,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=4     2, J''=2",{},0.6615948552428227,0.4023,False,0.0,Catalog,True,0.0,False,False,[],True
benzonitrile,,c7h5n,7774.49,7774.4409,-3.3783,-0.049100000000180444,8.58,0.0003,0.0,0,6000,False,[],[],"N'=3, J'=3 - N''=2     2, J''=2",{},0.6616274344480007,0.4023,False,0.0,Catalog,True,0.0,False,False,[],True
